title_main,title_original,release_year,runtime,country,language_,director,production,genre,top_cast,plot,rating_imdb,rating_metacritic,rating_rottentomatoes,imdb_id,website,trailer,poster_small,poster_large,connections,quality,subtitles
Black Swan,,2010,108 min,USA,"English, French, Italian",Darren Aronofsky,Fox Searchlight,"Drama, Thriller","Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey","Nina (Portman) is a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her obsessive former ballerina mother Erica (Hershey) who exerts a suffocating control over her. When artistic director Thomas Leroy (Cassel) decides to replace prima ballerina Beth MacIntyre (Ryder) for the opening production of their new season, Swan Lake, Nina is his first choice. But Nina has competition: a new dancer, Lily (Kunis), who impresses Leroy as well. Swan Lake requires a dancer who can play both the White Swan with innocence and grace, and the Black Swan, who represents guile and sensuality. Nina fits the White Swan role perfectly but Lily is the personification of the Black Swan. As the two young dancers expand their rivalry into a twisted friendship, Nina begins to get more in touch with her dark side - a recklessness that threatens to destroy her.",80,79,84,tt0947798,,,https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,,1080,
BlacKkKlansman,,2018,135 min,USA,English,Spike Lee,,"Biography, Comedy, Crime, Drama","Alec Baldwin, John David Washington, Isiah Whitlock Jr., Robert John Burke","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",78,83,,tt7349662,,,https://m.media-amazon.com/images/M/MV5BMjUyOTE1NjI0OF5BMl5BanBnXkFtZTgwMTM4ODQ5NTM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjUyOTE1NjI0OF5BMl5BanBnXkFtZTgwMTM4ODQ5NTM@._V1_SX300.jpg,,1080,
Blade Runner,,1982,117 min,USA,"English, German, Cantonese, Japanese, Hungarian, Arabic",Ridley Scott,Warner Bros. Pictures,"Sci-Fi, Thriller","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos","In the futuristic year of 2019, Los Angeles has become a dark and depressing metropolis, filled with urban decay. Rick Deckard, an ex-cop, is a ""Blade Runner"". Blade runners are people assigned to assassinate ""replicants"". The replicants are androids that look like real human beings. When four replicants commit a bloody mutiny on the Off World colony, Deckard is called out of retirement to track down the androids. As he tracks the replicants, eliminating them one by one, he soon comes across another replicant, Rachel, who evokes human emotion, despite the fact that she's a replicant herself. As Deckard closes in on the leader of the replicant group, his true hatred toward artificial intelligence makes him question his own identity in this future world, including what's human and what's not human.",82,89,90,tt0083658,https://www.warnerbros.com/blade-runner,,https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,,1080,Eng
Blade Runner 2049,,2017,164 min,"USA, UK, Hungary, Canada, Spain","English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish",Denis Villeneuve,Warner Bros. Pictures,"Drama, Mystery, Sci-Fi, Thriller","Ryan Gosling, Dave Bautista, Robin Wright, Mark Arnold","Thirty years after the events of the first film, a new blade runner, LAPD Officer K (Ryan Gosling), unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former LAPD blade runner who has been missing for 30 years.",80,81,87,tt1856101,http://bladerunnermovie.com,,https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_SX300.jpg,,1080,
Blow-Up,,1966,111 min,"UK, Italy, USA",English,Michelangelo Antonioni,MGM,"Drama, Mystery, Thriller","Vanessa Redgrave, Sarah Miles, David Hemmings, John Castle","A successful mod photographer in London whose world is bounded by fashion, pop music, marijuana, and easy sex, feels his life is boring and despairing. Then he meets a mysterious beauty, and also notices something frightfully suspicious on one of his photographs of her taken in a park. The fact that he may have photographed a murder does not occur to him until he studies and then blows up his negatives, uncovering details, blowing up smaller and smaller elements, and finally putting the puzzle together.",76,82,87,tt0060176,,,https://m.media-amazon.com/images/M/MV5BNWNkOGYzOGYtZGE4OC00NDVjLWExZTYtZWE2YTA3MjI4YThlXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNWNkOGYzOGYtZGE4OC00NDVjLWExZTYtZWE2YTA3MjI4YThlXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,,1080,Eng
Blue Velvet,,1986,120 min,USA,English,David Lynch,MGM,"Drama, Mystery, Thriller","Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern","College student Jeffrey Beaumont returns to his idyllic hometown of Lumberton to manage his father's hardware store while his father is hospitalized. Walking though a grassy meadow near the family home, Jeffrey finds a severed human ear. After an initial investigation, lead police Detective John Williams advises Jeffrey not to speak to anyone about the case as they investigate further. Detective Williams also tells Jeffrey that he cannot divulge any information about what the police know. Detective Williams' high school aged daughter, Sandy Williams, tells Jeffrey what she knows about the case from overhearing her father's private conversations on the matter: that it has to do with a nightclub singer named Dorothy Vallens, who lives in an older apartment building near the Beaumont home. His curiosity getting the better of him, Jeffrey, with Sandy's help, decides to find out more about the woman at the center of the case by breaking into Dorothy's apartment while he knows she's at work. What Jeffrey finds is a world unfamiliar to him, one that he doesn't truly understand but one that he is unable to deny the lure of despite the inherent dangers of being associated with a possible murder. Still, he is torn between this world and the prospect of a relationship with Sandy, the two who are falling for each other, despite Sandy already being in a relationship with Mike, the school's star football player.",78,76,94,tt0090756,,,https://m.media-amazon.com/images/M/MV5BMWUwM2I2OTctOTRlNS00ZmRjLWI1NmEtNDc3Mjg0Zjg3Y2FiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMWUwM2I2OTctOTRlNS00ZmRjLWI1NmEtNDc3Mjg0Zjg3Y2FiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,,1080,Eng
Bohemian Rhapsody,,2018,134 min,"UK, USA",English,Bryan Singer,20th Century Fox,"Biography, Drama, Music","Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy","The story of the legendary rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",81,49,61,tt1727824,http://www.bohemianrhapsody.com,,https://m.media-amazon.com/images/M/MV5BMTA2NDc3Njg5NDVeQTJeQWpwZ15BbWU4MDc1NDcxNTUz._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTA2NDc3Njg5NDVeQTJeQWpwZ15BbWU4MDc1NDcxNTUz._V1_SX300.jpg,,1080,
Bonnie and Clyde,,1967,111 min,USA,English,Arthur Penn,Warner Brothers/Seven Arts,"Action, Biography, Crime, Drama","Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman","1934. Young adults Bonnie Parker, a waitress, and Clyde Barrow, a criminal just released from prison, are immediately attracted to what the other represents for their life when they meet by chance in West Dallas, Texas. Bonnie is fascinated with Clyde's criminal past, and his matter-of-factness and bravado in talking about it. Clyde sees in Bonnie someone sympatico to his goals in life. Although attracted to each other physically, a sexual relationship between the two has a few obstacles to happen. Regardless, they decide to join forces to embark on a life of crime, holding up whatever establishments, primarily banks, to make money and to have fun. They don't plan on hurting anyone physically or killing anyone despite wielding loaded guns. They amass a small gang of willing accomplices, including C.W. Moss, a mechanic to fix whatever cars they steal which is important especially for their getaways, and Buck Barrow, one of Clyde's older brothers. The only reluctant tag-along is Buck's nervous wife, Blanche Barrow, a preacher's daughter. The gang's life changes after the first fatal shot is fired. Following, their willingness to shoot to kill increases to protect themselves and their livelihood. Their notoriety precedes them, so much so that no matter what one's opinion is of them, most want to have some association to the Barrow gang, to help them, to be spoken in the same breath as them, or to capture and or kill them. Of the many people they encounter in their crime spree, the one who may have the most profound effect on their lives is Texas Ranger Frank Hamer, who is looking for a little retribution.",79,81,89,tt0061418,,,https://ia.media-imdb.com/images/M/MV5BYzQ3ODZmOTktYWRiYy00YjZjLWFkYTctMjA4MmYxNTVmN2I2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYzQ3ODZmOTktYWRiYy00YjZjLWFkYTctMjA4MmYxNTVmN2I2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,,720,Eng
Borat Subsequent Moviefilm ,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,95 min,"UK, USA","English, Bulgarian, Hebrew, Romanian",Jason Woliner,,Comedy,"Sacha Baron Cohen, Maria Bakalova, Tom Hanks, Dani Popescu",Follow-up film to the 2006 comedy centering on the real-life adventures of a fictional Kazakh television journalist named Borat.,68,68,,tt13143964,,,https://m.media-amazon.com/images/M/MV5BNmY3OTdkOWEtNjc2ZC00OTZmLWI5OWItMjdjYjRkNTExNDNhXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNmY3OTdkOWEtNjc2ZC00OTZmLWI5OWItMjdjYjRkNTExNDNhXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg,,1080,"Eng, Spa"
Brazil,,1985,132 min,"UK, USA",English,Terry Gilliam,Universal Pictures,"Drama, Sci-Fi","Jonathan Pryce, Robert De Niro, Katherine Helmond, Ian Holm","Sam Lowry is a harried technocrat in a futuristic society that is needlessly convoluted and inefficient. He dreams of a life where he can fly away from technology and overpowering bureaucracy, and spend eternity with the woman of his dreams. While trying to rectify the wrongful arrest of one Harry Buttle, Lowry meets the woman he is always chasing in his dreams, Jill Layton. Meanwhile, the bureaucracy has fingered him responsible for a rash of terrorist bombings, and both Sam and Jill's lives are put in danger.",79,88,98,tt0088846,,,https://m.media-amazon.com/images/M/MV5BMDM0YTM3Y2UtNzY5MC00OTc4LThhZTYtMmM0ZGZjMmU1ZjdmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMDM0YTM3Y2UtNzY5MC00OTc4LThhZTYtMmM0ZGZjMmU1ZjdmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,,1080,Eng
Breaking the Waves,,1996,159 min,"Denmark, Sweden, France, Netherlands, Norway, Iceland, Spain",English,Lars von Trier,Artisan Entertainment,Drama,"Emily Watson, Stellan Skarsgård, Katrin Cartlidge, Jean-Marc Barr","Drama set in a repressed, deeply religious community in the north of Scotland, where a naive young woman named Bess McNeil meets and falls in love with Danish oil-rig worker Jan. Bess and Jan are deeply in love but, when Jan returns to his rig, Bess prays to God that he returns for good. Jan does return, his neck broken in an accident aboard the rig. Because of his condition, Jan and Bess are now unable to enjoy a sexual relationship and Jan urges Bess to take another lover and tell him the details. As Bess becomes more and more deviant in her sexual behavior, the more she comes to believe that her actions are guided by God and are helping Jan recover.",79,76,84,tt0115751,,,https://m.media-amazon.com/images/M/MV5BNDYwZTU2MzktNWYxMS00NTYzLTgzOWEtMTRiYjc5NGY2Nzg1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNDYwZTU2MzktNWYxMS00NTYzLTgzOWEtMTRiYjc5NGY2Nzg1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Golden Heart trilogy,1080,"Eng, Swe"
Britannia Hospital,,1982,111 min,UK,English,Lindsay Anderson,,"Comedy, Sci-Fi","Leonard Rossiter, Brian Pettifer, John Moffatt, Fulton Mackay","Mick Travis is a reporter who is about to shoot a documentary on Britannia Hospital, an institution which mirrors the downsides of British Society. It's the day when Her Royal Highness is to visit the hospital to inaugurate a new wing, where advanced (and sinister) scientific experiments led by Prof. Millar will take place. Everybody in the hospital, from the cooks who refuse to cook, to the painters who couldn't care less to get their job done, to an African cannibalistic dictator (a la Amin Dada) whom demonstrators want expelled from the hospital and tried, will contribute to making HRH's visit (and Mick Travis's life) a true nightmare.",63,,50,tt0083694,,,https://m.media-amazon.com/images/M/MV5BM2NlY2I2ODctY2QxZi00NjRmLTlmYmItN2UwNGRjNGY2NDMxXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BM2NlY2I2ODctY2QxZi00NjRmLTlmYmItN2UwNGRjNGY2NDMxXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,Mick Travis trilogy,1080,Eng
Carandiru,,2003,145 min,"Brazil, Argentina, Italy",Portuguese,Hector Babenco,Sony Pictures Classics,"Drama, Crime","Luiz Carlos Vasconcelos, Milton Gonçalves, Ivan de Almeida, Ailton Graça","Brazilian MD Drauzio Varella starts AIDS prevention in Brazil's largest prison, Carandiru, in São Paulo, where the population is nearly double its 4,000 maximum. Doc learns from experience and mainly stories the tragic stories of hideous crimes which landed scum there and passionate dramas adding otherwise decent people. Just when he believes to leave the prisoners happy with a soccer tournament, a silly clothing line argument kick-starts a politically opportune revolt repression.",76,71,67,tt0293007,,,https://m.media-amazon.com/images/M/MV5BMmQzY2RmYzMtYzRiOS00ZTMzLTgxMGYtZjRkNzAzYjA2MmVkXkEyXkFqcGdeQXVyNDc2MTA2NDg@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMmQzY2RmYzMtYzRiOS00ZTMzLTgxMGYtZjRkNzAzYjA2MmVkXkEyXkFqcGdeQXVyNDc2MTA2NDg@._V1_SX300.jpg,,720,Eng
Caribe,,2004,90 min,Costa Rica,Spanish,Esteban Ramírez,,"Drama, Mystery","Jorge Perugorría, Cuca Escribano, Maya Zapata, Roberto McLean","Passion: of people for the land and sea, of corporations for riches, and of men and women for each other. Vicente and Abigail run a banana plantation in Limon Province, on the Caribbean ...",60,,,tt0439491,,,https://ia.media-imdb.com/images/M/MV5BODg3MzA1Njg0N15BMl5BanBnXkFtZTcwMTE2NzczMQ@@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BODg3MzA1Njg0N15BMl5BanBnXkFtZTcwMTE2NzczMQ@@._V1_SX300.jpg,,SD,
Carnival of Souls,,1962,78 min,USA,English,Herk Harvey,Herts-Lion International Corp.,"Horror, Mystery","Candace Hilligoss, Frances Feist, Sidney Berger, Art Ellison","Mary Henry is enjoying the day by riding around in a car with two friends. When challenged to a drag, the women accept, but are forced off of a bridge. It appears that all are drowned, until Mary, quite some time later, amazingly emerges from the river. After recovering, Mary accepts a job in a new town as a church organist, only to be dogged by a mysterious phantom figure that seems to reside in an old run-down pavilion. It is here that Mary must confront the personal demons of her spiritual insouciance.",72,,86,tt0055830,,,https://m.media-amazon.com/images/M/MV5BYjgxYjI1ODktNWYyNy00N2EyLWFhOWEtMmI1ZmU3ZmU5ZWFjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYjgxYjI1ODktNWYyNy00N2EyLWFhOWEtMmI1ZmU3ZmU5ZWFjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,,1080,Eng
Casablanca,,1942,102 min,USA,"English, French, German, Italian",Michael Curtiz,,"Drama, Romance, War","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains","The story of Rick Blaine, a cynical world-weary ex-patriate who runs a nightclub in Casablanca, Morocco during the early stages of WWII. Despite the pressure he constantly receives from the local authorities, Rick's cafe has become a kind of haven for refugees seeking to obtain illicit letters that will help them escape to America. But when Ilsa, a former lover of Rick's, and her husband, show up to his cafe one day, Rick faces a tough challenge which will bring up unforeseen complications, heartbreak and ultimately an excruciating decision to make.",85,100,99,tt0034583,,,https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,,1080,Eng
Cell 211 ,Celda 211,2009,113 min,"Spain, France","Spanish, Basque, English",Daniel Monzón,Paramount Pictures,"Action, Adventure, Crime, Drama, Thriller","Luis Tosar, Alberto Ammann, Antonio Resines, Manuel Morón","Juan Oliver wants to make a good impression at his new job as a prison officer and reports to work a day early, leaving his pregnant wife, Elena, at home. His destiny is forever changed by this fateful decision, as during his tour of the prison, an accident occurs that knocks him unconscious. He is rushed to the empty but visibly haunted walls of cell 211. As this diversion unfolds, inmates of the high security cell block strategically break free and hijack the penitentiary. Aware of the violence that is to come, the prison officers flee, leaving Juan stranded and unconscious in the heart of the riot. When Juan awakens, he immediately takes stock of the situation; in order to survive, he must pretend to be a prisoner. Juan develops a dialogue with the violent leader of the riot, Badass, and the two begin a partnership, Badass fully believing that Juan is a new inmate. Negotiations go smoothly until the rioters take three ETA (the militant Basque separatist organization) prisoners hostage. When this hits the news, it triggers a stream of prison riots throughout the country as well as demonstrations in the Basque Country. Juan quickly realizes that he is on his own as the situation becomes more politicized and the government gets involved, afraid of potential ramifications in the Basque community. As the drama heightens, unexpected shifts in character both within and without the prison occur.",76,,97,tt1242422,,,https://m.media-amazon.com/images/M/MV5BYzUxMTliYzQtZWU2Yy00NTMxLWJhYmItNjU1NmU0MTM1MDQxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjI2ODE4ODAtMDA3MS00ODNkLTg4N2EtOGU0YjZmNGY4NjZlXkEyXkFqcGdeQXVyMTY5MDE5NA@@._V1_SX300.jpg,,1080,Eng
Children of Men,,2006,109 min,"USA, UK, Japan","English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian, Serbian",Alfonso Cuarón,Universal Pictures,"Drama, Sci-Fi, Thriller","Clive Owen, Juan Gabriel Yacuzzi, Michael Caine, Mishal Husain","The world's youngest citizen has just died at 18, and humankind is facing the likelihood of its own extinction. Set in and around a dystopian London fractious with violence and warring nationalistic sects, Children of Men follows the unexpected discovery of a lone pregnant woman and the desperate journey to deliver her to safety and restore faith for a future beyond those presently on Earth.",79,84,92,tt0206634,http://www.childrenofmen.net/,,https://m.media-amazon.com/images/M/MV5BMTQ5NTI2NTI4NF5BMl5BanBnXkFtZTcwNjk2NDA2OQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTQ5NTI2NTI4NF5BMl5BanBnXkFtZTcwNjk2NDA2OQ@@._V1_SX300.jpg,,1080,Eng
Chimpanzee,,2012,78 min,"Tanzania, USA",English,"Alastair Fothergill, Mark Linfield",Disneynature,Documentary,Tim Allen,"Oscar, a baby chimpanzee is enjoying his life with his mother in the jungles along the Ivory Coast. Without warning, young Oscar is tragically orphaned during an attack from a rival group of chimpanzees. Afterwards, he attempts to survive on his own, and to be accepted by the other chimps. But Oscar struggles, until he is surprisingly adopted by the Alpha Male of his group.",72,57,75,tt1222815,http://disney.go.com/disneynature/chimpanzee/?cmp=wdsmp_dnt_chm_url_dcomchimpanz,,https://ia.media-imdb.com/images/M/MV5BMjA1MjMzMjA3OV5BMl5BanBnXkFtZTcwOTU3NDU5Ng@@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MjMzMjA3OV5BMl5BanBnXkFtZTcwOTU3NDU5Ng@@._V1_SX300.jpg,,720,"Eng, Spa"
Christine,,1983,110 min,USA,English,John Carpenter,Sony Pictures Home Entertainment,"Horror, Thriller","Keith Gordon, John Stockwell, Alexandra Paul, Robert Prosky","In 1957, in Detroit, a red Plymouth Fury is built and is the cause of two accidents, one of them fatal, still in the assembly line. Twenty-one years later, the outcast and bullied nerd Arnold ""Arnie"" Cunningham is getting a ride with his best and only friend Dennis Guilder and he sees the wrecked car for sale in a garden. Arnie immediately falls in love with the car. The car was given the name Christine by it's first owner. He brings the car to a repair shop of the despicable Will Darnell and works hard to restore the classic car. While he works in the restoration, he changes his personality to a cocky teenager and he dates the most beautiful girl in the high-school, Leigh Cabot. Soon Arnie becomes selfish and jealous of the supernatural Christine that kills everyone that is a threat to them.",67,57,69,tt0085333,,,https://m.media-amazon.com/images/M/MV5BZThhNDQxNzAtOTYzZC00MzZkLWI2YjItOTE2ZjliZDY3NTFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZThhNDQxNzAtOTYzZC00MzZkLWI2YjItOTE2ZjliZDY3NTFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,1080,Eng
Chronos,,1985,43 min,"Canada, USA",None,Ron Fricke,,Documentary,,Carefully picked scenes of nature and civilization are viewed at high speed using time-lapse cinematography in an effort to demonstrate the history of various regions.,78,,,tt0088919,,,https://m.media-amazon.com/images/M/MV5BNmVlNTUzYmUtMjkzNy00MjRlLTkxNGUtZmU2YTFkNzMzNzdiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BNmVlNTUzYmUtMjkzNy00MjRlLTkxNGUtZmU2YTFkNzMzNzdiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,,1080,
Cinema Paradiso ,Nuovo Cinema Paradiso,1988,155 min,"Italy, France",Italian,Giuseppe Tornatore,Cristaldi Film,Drama,"Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta","A boy who grew up in a native Sicilian Village returns home as a famous director after receiving news about the death of an old friend. Told in a flashback, Salvatore reminiscences about his childhood and his relationship with Alfredo, a projectionist at Cinema Paradiso. Under the fatherly influence of Alfredo, Salvatore fell in love with film making, with the duo spending many hours discussing about films and Alfredo painstakingly teaching Salvatore the skills that became a stepping stone for the young boy into the world of film making. The film brings the audience through the changes in cinema and the dying trade of traditional film making, editing and screening. It also explores a young boy's dream of leaving his little town to foray into the world outside.",85,80,90,tt0095765,,,https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_SX300.jpg,,1080,Eng
Citizen Kane,,1941,119 min,USA,English,Orson Welles,RKO Radio Pictures,"Drama, Mystery","Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick","A group of reporters are trying to decipher the last word ever spoken by Charles Foster Kane, the millionaire newspaper tycoon: ""Rosebud."" The film begins with a news reel detailing Kane's life for the masses, and then from there, we are shown flashbacks from Kane's life. As the reporters investigate further, the viewers see a display of a fascinating man's rise to fame, and how he eventually fell off the top of the world.",84,100,100,tt0033467,,,https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BYjBiOTYxZWItMzdiZi00NjlkLWIzZTYtYmFhZjhiMTljOTdkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,,1080,Eng
Citizenfour,,2014,114 min,"USA, Germany, UK","English, Portuguese, German",Laura Poitras,Radius-TWC,"Documentary, Biography, News, Thriller","Edward Snowden, Glenn Greenwald, William Binney, Jacob Appelbaum","In January 2013, Laura Poitras started receiving anonymous encrypted e-mails from ""CITIZENFOUR,"" who claimed to have evidence of illegal covert surveillance programs run by the NSA in collaboration with other intelligence agencies worldwide. Five months later, she and reporters Glenn Greenwald and Ewen MacAskill flew to Hong Kong for the first of many meetings with the man who turned out to be Edward Snowden. She brought her camera with her. The resulting film is history unfolding before our eyes.",81,88,96,tt4044364,,,https://m.media-amazon.com/images/M/MV5BMTc0MTM0MTA5MF5BMl5BanBnXkFtZTgwNzEwODEwMzE@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTc0MTM0MTA5MF5BMl5BanBnXkFtZTgwNzEwODEwMzE@._V1_SX300.jpg,,1080,"Eng, Spa"
City Lights,,1931,87 min,USA,English,Charles Chaplin,United Artists,"Comedy, Drama, Romance","Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia",A tramp falls in love with a beautiful blind girl. Her family is in financial trouble. The tramp's on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,85,99,98,tt0021749,,,https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,,1080,
City That Never Sleeps,,1953,90 min,USA,English,John H. Auer,Republic,"Crime, Drama, Film-Noir, Thriller","Gig Young, Mala Powers, William Talman, Edward Arnold","Chicago cop Johnny Kelly, dissatisfied with his job and marriage, would like to run away with his stripper girlfriend Angel Face, but keeps getting cold feet. During one crowded night, Angel Face decides she's had enough vacillation, and crooked lawyer Biddel has an illegal mission for Johnny that could put him in a financial position to act. But other, conflicting schemes are also in progress...",68,,,tt0045631,,,https://m.media-amazon.com/images/M/MV5BNmMyNTQyZGUtMTdjZS00YThmLWFkMDEtMDUwNTcwM2EzNjdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNmMyNTQyZGUtMTdjZS00YThmLWFkMDEtMDUwNTcwM2EzNjdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,,1080,
